account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,avg_stars_per_repo,avg_forks_per_repo,repository_maintenance_ratio,churn
3152,22.8281,0.1395,0.0,1.0,0.0355,0.1472,0.0051,0
2639,16.747,0.1208,0.0661,0.9339,0.0165,0.0,0.1074,0
2273,6.2669,1.2,0.0256,0.9744,0.2308,0.0513,0.0256,0
4480,1.386,1.2857,0.0588,0.9412,0.0,0.0,0.0588,0
2908,2.0096,1.0588,0.25,0.75,0.625,0.625,0.5625,0
4282,0.853,1.8889,0.0,1.0,0.4,0.3,0.0,1
4862,1.8781,1.4167,0.0,1.0,0.12,0.0,0.0,1
3733,2.5439,0.2464,0.2308,0.7692,0.0385,0.0385,0.1538,0
3304,2.3215,0.2429,0.1429,0.8571,0.1429,0.0476,0.1429,0
5077,0.0719,0.5,0.0,1.0,0.0,0.0,0.0,1
3269,2.3464,1.3077,0.0,1.0,0.0476,0.0476,0.0,1
3887,2.5371,3.4,0.037,0.963,0.0741,0.0,0.0,0
2554,6.1495,5.6667,0.1628,0.8372,0.4419,0.3256,0.1395,0
3571,2.0456,0.68,0.0,1.0,0.0,0.05,0.0,1
4865,1.4265,0.85,0.0526,0.9474,0.0,0.0,0.1053,1
2713,2.9619,1.0,0.0,1.0,0.2273,0.0455,0.0,0
3981,0.6422,3.4,0.0,1.0,0.1429,0.0,0.0,1
3109,2.4671,0.6296,0.5238,0.4762,0.0476,0.0,0.4762,0
2928,2.1206,0.7083,0.3529,0.6471,0.7059,0.0588,0.0588,0
3566,1.6388,1.8889,0.25,0.75,0.4375,0.0,0.25,0
3821,1.625,0.5484,0.0,1.0,0.1176,0.1765,0.0,0
2935,2.3645,0.7727,0.4211,0.5789,2.6842,0.0526,0.3684,0
3441,9.3409,1.3077,0.0455,0.9545,0.0455,0.0227,0.0341,0
4107,3.5573,1.2143,0.05,0.95,0.2,0.05,0.125,0
2201,1.9914,1.1333,1.0,0.0,0.0,0.0,0.5,0
3370,3.9018,0.6538,0.0,1.0,0.0,0.0,0.0,0
4181,1.5725,0.9444,0.1111,0.8889,0.0,0.0,0.1111,0
2499,1.7539,0.4474,0.0,1.0,0.5,0.0,0.0833,0
2279,6.571,0.9444,0.0,1.0,0.0488,0.0488,0.0,0
3729,1.2733,0.2909,0.3846,0.6154,0.1538,0.0,0.3077,0
